,Infected,Healthy,Recovered
0,5,6517,0
1,5,6517,0
2,5,6517,0
3,5,6517,0
4,5,6517,0
5,5,6517,0
6,5,6517,0
7,5,6517,0
8,5,6517,0
9,5,6517,0
10,5,6517,0
11,5,6517,0
12,5,6517,0
13,5,6517,0
14,5,6517,0
15,5,6517,0
16,5,6517,0
17,5,6517,0
18,5,6517,0
19,5,6517,0
20,5,6517,0
21,5,6517,0
22,5,6517,0
23,5,6517,0
24,5,6517,0
25,5,6517,0
26,5,6517,0
27,5,6517,0
28,5,6517,0
29,5,6517,0
30,6,6516,0
31,6,6516,0
32,6,6516,0
33,6,6516,0
34,6,6516,0
35,6,6516,0
36,6,6516,0
37,6,6516,0
38,6,6516,0
39,6,6516,0
40,6,6516,0
41,6,6516,0
42,6,6516,0
43,6,6516,0
44,6,6516,0
45,6,6516,0
46,6,6516,0
47,7,6515,0
48,7,6515,0
49,7,6515,0
50,7,6515,0
51,7,6515,0
52,7,6515,0
53,7,6515,0
54,7,6515,0
55,7,6515,0
56,7,6515,0
57,7,6515,0
58,7,6515,0
59,7,6515,0
60,7,6515,0
61,7,6515,0
62,7,6515,0
63,7,6515,0
64,7,6515,0
65,7,6515,0
66,7,6515,0
67,7,6515,0
68,7,6515,0
69,7,6515,0
70,7,6515,0
71,7,6515,0
72,7,6515,0
73,7,6515,0
74,7,6515,0
75,7,6515,0
76,7,6515,0
77,7,6515,0
78,7,6515,0
79,7,6515,0
80,7,6515,0
81,7,6515,0
82,7,6515,0
83,8,6514,0
84,8,6514,0
85,8,6514,0
86,8,6514,0
87,8,6514,0
88,8,6514,0
89,9,6513,0
90,9,6513,0
91,9,6513,0
92,9,6513,0
93,9,6513,0
94,9,6513,0
95,9,6513,0
96,9,6513,0
97,9,6513,0
98,9,6513,0
99,9,6513,0
100,9,6513,0
101,9,6513,0
102,10,6512,0
103,10,6512,0
104,10,6512,0
105,11,6511,0
106,12,6510,0
107,12,6510,0
108,12,6510,0
109,13,6509,0
110,13,6509,0
111,13,6509,0
112,13,6509,0
113,13,6509,0
114,13,6509,0
115,13,6509,0
116,13,6509,0
117,14,6508,0
118,15,6507,0
119,15,6507,0
120,15,6507,0
121,15,6507,0
122,15,6507,0
123,15,6507,0
124,15,6507,0
125,15,6507,0
126,15,6507,0
127,15,6507,0
128,15,6507,0
129,15,6507,0
130,15,6507,0
131,15,6507,0
132,15,6507,0
133,15,6507,0
134,15,6507,0
135,15,6507,0
136,15,6507,0
137,15,6507,0
138,15,6507,0
139,15,6507,0
140,15,6507,0
141,15,6507,0
142,15,6507,0
143,15,6507,0
144,15,6507,0
145,15,6507,0
146,16,6506,0
147,16,6506,0
148,16,6506,0
149,17,6505,0
150,17,6505,0
151,17,6505,0
152,17,6505,0
153,17,6505,0
154,17,6505,0
155,18,6504,0
156,19,6503,0
157,19,6503,0
158,20,6502,0
159,20,6502,0
160,20,6502,0
161,20,6502,0
162,20,6502,0
163,20,6502,0
164,21,6501,0
165,22,6500,0
166,22,6500,0
167,22,6500,0
168,22,6500,0
169,22,6500,0
170,22,6500,0
171,24,6498,0
172,24,6498,0
173,24,6498,0
174,24,6498,0
175,24,6498,0
176,24,6498,0
177,24,6498,0
178,24,6498,0
179,24,6498,0
180,24,6498,0
181,24,6498,0
182,25,6497,0
183,26,6496,0
184,26,6496,0
185,26,6496,0
186,26,6496,0
187,26,6496,0
188,26,6496,0
189,27,6495,0
190,27,6495,0
191,27,6495,0
192,27,6495,0
193,27,6495,0
194,27,6495,0
195,27,6495,0
196,27,6495,0
197,27,6495,0
198,27,6495,0
199,27,6495,0
200,28,6494,0
201,28,6494,0
202,28,6494,0
203,28,6494,0
204,28,6494,0
205,28,6494,0
206,28,6494,0
207,28,6494,0
208,28,6494,0
209,29,6493,0
210,29,6493,0
211,29,6493,0
212,29,6493,0
213,31,6491,0
214,31,6491,0
215,32,6490,0
216,32,6490,0
217,33,6489,0
218,33,6489,0
219,34,6488,0
220,34,6488,0
221,34,6488,0
222,34,6488,0
223,34,6488,0
224,34,6488,5
225,34,6488,5
226,34,6488,5
227,34,6488,5
228,34,6488,5
229,34,6488,5
230,35,6487,5
231,35,6487,5
232,36,6486,5
233,36,6486,5
234,36,6486,5
235,36,6486,5
236,38,6484,5
237,38,6484,5
238,38,6484,5
239,38,6484,5
240,39,6483,5
241,40,6482,5
242,40,6482,5
243,41,6481,5
244,41,6481,5
245,41,6481,5
246,41,6481,5
247,41,6481,5
248,42,6480,5
249,43,6479,5
250,43,6479,5
251,43,6479,5
252,44,6478,5
253,44,6478,5
254,44,6478,5
255,44,6478,6
256,44,6478,6
257,44,6478,6
258,46,6476,6
259,46,6476,6
260,46,6476,6
261,46,6476,6
262,46,6476,6
263,46,6476,6
264,47,6475,6
265,47,6475,6
266,47,6475,6
267,47,6475,6
268,47,6475,6
269,47,6475,6
270,50,6472,6
271,51,6471,7
272,51,6471,7
273,52,6470,7
274,52,6470,7
275,52,6470,7
276,53,6469,7
277,54,6468,7
278,55,6467,7
279,55,6467,7
280,55,6467,7
281,55,6467,7
282,57,6465,7
283,57,6465,7
284,59,6463,7
285,60,6462,7
286,62,6460,7
287,63,6459,7
288,63,6459,7
289,64,6458,7
290,65,6457,7
291,65,6457,7
292,66,6456,7
293,66,6456,7
294,67,6455,7
295,67,6455,7
296,67,6455,7
297,68,6454,7
298,69,6453,7
299,69,6453,7
300,69,6453,7
301,69,6453,7
302,69,6453,7
303,70,6452,7
304,70,6452,7
305,70,6452,7
306,71,6451,7
307,71,6451,7
308,71,6451,8
309,73,6449,8
310,73,6449,8
311,73,6449,8
312,73,6449,8
313,75,6447,9
314,76,6446,9
315,76,6446,9
316,78,6444,9
317,78,6444,9
318,78,6444,9
319,78,6444,9
320,78,6444,9
321,78,6444,9
322,79,6443,9
323,79,6443,9
324,79,6443,9
325,79,6443,9
326,79,6443,9
327,80,6442,10
328,80,6442,10
329,80,6442,11
330,81,6441,12
331,81,6441,12
332,83,6439,12
333,83,6439,13
334,83,6439,13
335,83,6439,13
336,83,6439,13
337,83,6439,13
338,84,6438,13
339,84,6438,13
340,86,6436,13
341,86,6436,14
342,86,6436,15
343,86,6436,15
344,86,6436,15
345,86,6436,15
346,89,6433,15
347,90,6432,15
348,90,6432,15
349,91,6431,15
350,91,6431,15
351,91,6431,15
352,92,6430,15
353,92,6430,15
354,92,6430,15
355,92,6430,15
356,92,6430,15
357,93,6429,15
358,95,6427,15
359,95,6427,15
360,96,6426,15
361,98,6424,15
362,100,6422,15
363,102,6420,15
364,103,6419,15
365,104,6418,15
366,105,6417,15
367,106,6416,15
368,109,6413,15
369,109,6413,15
370,110,6412,16
371,111,6411,16
372,112,6410,16
373,115,6407,16
374,115,6407,17
375,116,6406,17
376,116,6406,17
377,117,6405,17
378,117,6405,17
379,119,6403,17
380,119,6403,19
381,120,6402,19
382,122,6400,19
383,123,6399,20
384,123,6399,20
385,123,6399,20
386,123,6399,20
387,124,6398,20
388,125,6397,20
389,126,6396,22
390,127,6395,22
391,128,6394,22
392,130,6392,22
393,130,6392,22
394,130,6392,22
395,130,6392,23
396,131,6391,24
397,131,6391,24
398,133,6389,24
399,134,6388,24
400,135,6387,24
401,136,6386,24
402,136,6386,24
403,136,6386,24
404,138,6384,24
405,138,6384,24
406,138,6384,24
407,138,6384,25
408,138,6384,26
409,139,6383,26
410,139,6383,26
411,139,6383,26
412,141,6381,26
413,142,6380,27
414,143,6379,27
415,144,6378,27
416,145,6377,27
417,145,6377,27
418,145,6377,27
419,146,6376,27
420,149,6373,27
421,151,6371,27
422,151,6371,27
423,152,6370,27
424,152,6370,27
425,154,6368,28
426,158,6364,28
427,159,6363,28
428,160,6362,28
429,160,6362,28
430,161,6361,28
431,162,6360,28
432,164,6358,28
433,164,6358,28
434,164,6358,29
435,165,6357,29
436,165,6357,29
437,166,6356,30
438,167,6355,31
439,169,6353,31
440,169,6353,32
441,169,6353,32
442,169,6353,33
443,171,6351,33
444,173,6349,34
445,173,6349,34
446,174,6348,34
447,174,6348,34
448,175,6347,34
449,177,6345,34
450,177,6345,34
451,178,6344,34
452,179,6343,34
453,180,6342,34
454,181,6341,34
455,181,6341,35
456,181,6341,36
457,181,6341,36
458,181,6341,36
459,183,6339,36
460,183,6339,38
461,183,6339,38
462,184,6338,38
463,186,6336,38
464,186,6336,39
465,186,6336,39
466,187,6335,40
467,187,6335,40
468,188,6334,41
469,189,6333,41
470,189,6333,41
471,190,6332,41
472,191,6331,42
473,193,6329,43
474,194,6328,43
475,194,6328,43
476,194,6328,44
477,195,6327,44
478,195,6327,44
479,196,6326,44
480,197,6325,44
481,198,6324,44
482,198,6324,45
483,201,6321,46
484,202,6320,46
485,202,6320,46
486,203,6319,46
487,203,6319,46
488,203,6319,46
489,204,6318,47
490,205,6317,47
491,207,6315,47
492,208,6314,47
493,209,6313,47
494,209,6313,48
495,211,6311,51
496,211,6311,51
497,213,6309,51
498,213,6309,52
499,213,6309,52
500,213,6309,53
501,214,6308,54
502,215,6307,55
503,216,6306,55
504,216,6306,55
505,217,6305,55
506,217,6305,55
507,219,6303,57
508,219,6303,58
509,219,6303,59
510,223,6299,60
511,225,6297,63
512,226,6296,63
513,228,6294,63
514,230,6292,64
515,230,6292,65
516,231,6291,66
517,235,6287,66
518,236,6286,66
519,236,6286,67
520,236,6286,67
521,238,6284,67
522,240,6282,68
523,241,6281,69
524,241,6281,69
525,242,6280,69
526,242,6280,69
527,244,6278,70
528,244,6278,70
529,244,6278,70
530,245,6277,70
531,245,6277,71
532,245,6277,71
533,245,6277,71
534,246,6276,73
535,248,6274,73
536,249,6273,73
537,249,6273,73
538,250,6272,75
539,252,6270,76
540,252,6270,77
541,252,6270,78
542,254,6268,78
543,256,6266,78
544,257,6265,78
545,257,6265,78
546,259,6263,78
547,260,6262,79
548,261,6261,79
549,262,6260,79
550,264,6258,79
551,267,6255,79
552,267,6255,80
553,267,6255,80
554,268,6254,80
555,268,6254,81
556,268,6254,82
557,269,6253,83
558,269,6253,83
559,270,6252,83
560,270,6252,83
561,270,6252,83
562,272,6250,83
563,272,6250,84
564,272,6250,85
565,275,6247,86
566,276,6246,86
567,277,6245,86
568,278,6244,86
569,279,6243,86
570,280,6242,89
571,282,6240,89
572,282,6240,90
573,283,6239,91
574,285,6237,91
575,286,6236,91
576,289,6233,92
577,289,6233,92
578,290,6232,92
579,291,6231,92
580,291,6231,92
581,294,6228,92
582,294,6228,93
583,296,6226,95
584,298,6224,95
585,299,6223,97
586,300,6222,99
587,301,6221,102
588,301,6221,102
589,302,6220,104
590,304,6218,104
591,306,6216,106
592,306,6216,107
593,307,6215,109
594,308,6214,109
595,308,6214,111
596,308,6214,112
597,313,6209,112
598,315,6207,115
599,315,6207,116
600,316,6206,116
601,317,6205,117
602,318,6204,117
603,319,6203,118
604,320,6202,119
605,320,6202,120
606,320,6202,120
607,321,6201,122
608,321,6201,123
609,324,6198,123
610,325,6197,123
611,326,6196,124
612,326,6196,125
613,329,6193,125
614,330,6192,127
615,331,6191,128
616,331,6191,128
617,331,6191,130
618,332,6190,130
619,333,6189,130
620,333,6189,131
621,333,6189,131
622,333,6189,132
623,333,6189,134
624,334,6188,134
625,335,6187,136
626,336,6186,136
627,337,6185,136
628,337,6185,137
629,339,6183,138
630,340,6182,138
631,342,6180,138
632,342,6180,138
633,344,6178,138
634,345,6177,139
635,345,6177,139
636,345,6177,141
637,345,6177,141
638,345,6177,142
639,345,6177,143
640,345,6177,144
641,346,6176,145
642,347,6175,145
643,347,6175,145
644,347,6175,148
645,349,6173,150
646,353,6169,151
647,353,6169,151
648,355,6167,152
649,356,6166,153
650,357,6165,156
651,359,6163,159
652,361,6161,159
653,362,6160,160
654,363,6159,160
655,363,6159,161
656,364,6158,162
657,367,6155,164
658,367,6155,164
659,367,6155,164
660,367,6155,165
661,370,6152,165
662,370,6152,166
663,371,6151,167
